addr,ch0
0,0
1,2
2,0
3,-2
4,1
5,2
6,0
7,0
8,0
9,1
10,0
11,-1
12,0
13,1
14,0
15,0
16,0
17,-3
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,-4
26,0
27,4
28,0
29,1
30,-1
31,0
32,0
33,0
34,0
35,1
36,0
37,2
38,-2
39,0
40,0
41,1
42,0
43,-1
44,0
45,0
46,2
47,-1
48,0
49,0
50,0
51,-1
52,0
53,-1
54,-1
55,2
56,0
57,0
58,0
59,-2
60,0
61,0
62,-1
63,1
